RA,DEC,u,g,r,i,z,redshift,Filename
200.154714869434,48.6072423667105,19.61306,18.42863,17.68243,17.31816,17.04004,0.1666322,data/sdss\SDSS_galaxy190.jpg
317.647640400518,-6.53118746089748,19.83597,18.08084,17.15475,16.67192,16.39381,0.08851098,data/sdss\SDSS_galaxy191.jpg
228.165243884326,7.46261244518651,20.02879,18.3984,17.59996,17.22882,16.94543,0.04267321,data/sdss\SDSS_galaxy192.jpg
132.835249353266,55.0382417183546,19.25183,17.88147,17.21582,16.81886,16.53552,0.08332516,data/sdss\SDSS_galaxy193.jpg
239.927499757402,8.66753639993731,20.71619,18.84645,17.3981,16.85798,16.48661,0.2249872,data/sdss\SDSS_galaxy194.jpg
137.094658176386,63.2033657680862,18.95948,17.35566,16.44525,15.95944,15.63807,0.09089337,data/sdss\SDSS_galaxy195.jpg
220.054302303645,56.4883196674318,20.38605,18.4689,17.33105,16.86369,16.47816,0.1628097,data/sdss\SDSS_galaxy196.jpg
128.545092091773,47.2297284734857,18.298,16.38823,15.53881,15.13728,14.82708,0.05301376,data/sdss\SDSS_galaxy197.jpg
128.332502508183,31.1675467569054,19.40083,18.36412,17.87349,17.54459,17.34454,0.08782669,data/sdss\SDSS_galaxy198.jpg
214.299793695565,6.12727150271586,19.99109,18.08824,17.00656,16.53555,16.12162,0.1097267,data/sdss\SDSS_galaxy199.jpg
181.902178545337,47.6289615673253,19.47757,17.91413,17.0393,16.58306,16.20814,0.1002386,data/sdss\SDSS_galaxy200.jpg
120.190438985705,47.9096129653154,21.04944,19.11717,17.92466,17.69097,17.18074,0.1183079,data/sdss\SDSS_galaxy201.jpg
173.712460668023,64.1156821380567,20.9679,18.65596,17.41481,16.88323,16.54283,0.2110047,data/sdss\SDSS_galaxy202.jpg
190.003820716172,36.8449135857328,19.35975,18.16058,17.69417,17.40521,17.2282,0.06574343,data/sdss\SDSS_galaxy203.jpg
155.621030275299,29.1296669130782,19.46359,18.23398,17.43905,17.01566,16.74887,0.1532385,data/sdss\SDSS_galaxy204.jpg
190.972654558084,44.7666365529287,20.76868,18.84505,17.75755,17.28771,16.9557,0.1449254,data/sdss\SDSS_galaxy205.jpg
191.293511690542,50.8304318103797,19.95068,17.6727,16.60869,16.17163,15.80011,0.1230559,data/sdss\SDSS_galaxy206.jpg
200.021476426089,41.4085078384908,18.56868,16.67522,15.7174,15.26888,14.89252,0.09713081,data/sdss\SDSS_galaxy207.jpg
